gene,coefficient
NCAM2,0.4129068904212192
PKHD1L1,-0.3593529576240422
HOXB9,0.3126931541776155
CNTN3,-0.2609707085443513
KCNA6,-0.22734028057299338
EPGN,0.2142415224486479
ZNF257,-0.21385590639147267
ADAMTS1,0.20921691173876952
WFDC3,-0.20280003547576936
HIST1H3G,-0.19752347212451943
GSTT2,-0.192144991254232
SLCO1B1,0.185950400007853
GPC6,0.16834138439422622
TMEM139,0.15557846529190636
PCSK9,0.14126276048488526
HS3ST2,-0.13379892412033692
TMEM215,-0.13112737030988017
GAS2,0.13091959014676113
HTR2B,-0.12836040178611766
LOC654433,0.12736184443808468
MPV17L,-0.12416512077465242
FBN3,-0.1102613574939716
S100A12,0.10766073487002385
SPRR1B,0.10671214227773927
LTK,-0.10594697145080695
C8orf47,-0.09659151080171934
LST-3TM12,0.09442333540894578
CYP2D7P1,0.09189570670407042
SH3TC2,0.09156446239603455
NLRP2,-0.09041157728142848
TGFB2,0.08716122798397784
ODZ1,-0.08602533393342693
FGA,0.08564782617295276
KNDC1,-0.08377833368211159
BEND5,0.08246546960183518
CCDC40,-0.0815836342255665
GPR64,0.0740960693995151
MT1A,0.07246672061916654
ALX1,0.07235094021179066
SIX1,-0.06980862494617891
VCAN,0.06712588320527349
NAV3,0.06487130999696995
CASP14,0.06162191892910224
AUTS2,0.061595131253281546
KIR2DL3,-0.05753716395441205
NOS3,-0.05451996268934555
RHCG,0.054277365612993095
STK33,0.05405825988702272
IGFBPL1,-0.051590308305460526
TMEM213,-0.05124815862995564
IRF4,-0.04484597930729884
CD70,0.04307118618247353
C1orf141,-0.03963715947255833
MBL1P,0.03685955441110972
TRPC2,-0.03512546968138187
GSTA3,-0.0333188611367563
ERO1LB,-0.02936685292878003
ATP10B,-0.02638879284401713
PAQR5,0.020391411975790235
SLC47A1,-0.019074499159404883
ACSM5,-0.01827841961510249
BLK,0.01482088479067493
CRHR2,-0.014674446218896358
CDH10,0.013197196932645034
TG,-0.013187776601603564
ABCA17P,-0.013177103687602
SPRR2A,0.012216549691021122
TSPAN11,-0.010043287044551465
PDE10A,0.008160650799092275
NPAS2,0.004876787545699526
SERPINA6,-0.0013914802989942838
C10orf90,0.0011662751752772084
