feature,stream,mean_shap
stage_Stage III,Clinical,0.14176139192317072
CLEC18A,Expression,0.06615670330028894
EPGN,Dysregulation,0.06045480860578499
EPGN,Expression,0.05216869622343553
SLC24A5,Expression,0.04701562341789426
CLEC18A,Dysregulation,0.04425604556771102
DKK1,Dysregulation,0.037507848156610166
CMAH,Expression,0.03736424331927846
DKK1,Expression,0.035271008402341125
HABP2,Expression,0.033417680408988
PPP1R3G,Dysregulation,0.03163092130450428
LINGO2,Dysregulation,0.030320565860712224
LINGO2,Expression,0.027796425797007702
SLC47A1,Dysregulation,0.02514340126649257
IRX5,Expression,0.024477841018912126
MUC20,Expression,0.02439846766404779
age,Clinical,0.024367235312749185
NKX2-1,Expression,0.019477882002000874
CD109,Expression,0.018874826324824106
GDF15,Expression,0.017881051056306347
DNAH2,Dysregulation,0.017289340201043328
CD109,Dysregulation,0.017080358874896454
DNALI1,Expression,0.016995354531571652
DNAH2,Expression,0.016722642618747417
CDH26,Dysregulation,0.015616572888611863
IGFBP1,Dysregulation,0.015529341872703394
SDK1,Expression,0.014650247041053659
CDH26,Expression,0.014620764762601044
PPP1R3G,Expression,0.013412964125075786
IGFBP1,Expression,0.012678249767079883
DNAJB13,Dysregulation,0.012409088559017343
RHCG,Expression,0.01156335914002755
RGS20,Expression,0.011301208982829977
LOC441869,Expression,0.010789892867447826
Mast cells resting,Immune,0.010722335828021734
GPR172B,Expression,0.009932475931340591
SLC4A8,Expression,0.009737253189331059
IRX5,Dysregulation,0.009729006420450647
RHCG,Dysregulation,0.009667396874819196
SLC4A8,Dysregulation,0.009136097910080982
CHAD,Dysregulation,0.009043731892093763
SLC47A1,Expression,0.00812018332038913
Macrophages M1,Immune,0.007940042042069481
IDO2,Dysregulation,0.007935615415368186
NTSR1,Expression,0.007735372012168083
RTL1,Dysregulation,0.0073522896228564675
C12orf39,Expression,0.007040414123519335
Eosinophils,Immune,0.007028179823257106
PNPLA7,Dysregulation,0.0067221592236225555
DNAJB13,Expression,0.006510721539791064
IDO2,Expression,0.0063798794571377285
GYLTL1B,Expression,0.0057888027909754145
INPP5J,Expression,0.005499943904303211
GABRA2,Expression,0.005374451365523138
CLIC6,Expression,0.004916692693712336
SIX1,Expression,0.004860647851280896
CHAD,Expression,0.004710379670587526
BAIAP3,Expression,0.004436654648396831
T cells regulatory (Tregs),Immune,0.004307107111538314
T cells CD4 memory resting,Immune,0.004027845235160243
SIX1,Dysregulation,0.0039128880048318665
BZRAP1,Expression,0.003709392571472208
Mast cells activated,Immune,0.0037024980755218737
GADD45G,Expression,0.0035900611001835067
T cells follicular helper,Immune,0.0035302255702592067
RGS20,Dysregulation,0.003511287777786278
FGF5,Dysregulation,0.0032040365138348817
KRT6A,Expression,0.0031944023833872684
GPC6,Dysregulation,0.003145570178874788
DNALI1,Dysregulation,0.0030702817806655806
SFTA3,Expression,0.003024175827249106
NKX2-1,Dysregulation,0.003017048373968586
Macrophages M0,Immune,0.0025932213665516637
stage_Stage II,Clinical,0.002315833882390454
KRT6C,Dysregulation,0.0022989081794626627
Dendritic cells resting,Immune,0.002236485445989314
PNPLA7,Expression,0.0018069085125255726
FLNC,Expression,0.0016400867865691917
T cells CD4 naive,Immune,0.0015083509512947965
RTL1,Expression,0.0014938758466410025
NTSR1,Dysregulation,0.0014788288731174533
KRT6C,Expression,0.0014603932555930525
WFDC2,Expression,0.0014534607384143802
Macrophages M2,Immune,0.001398786824814351
KRT6A,Dysregulation,0.0013541814777099596
FGF5,Expression,0.0012971548212796294
NK cells activated,Immune,0.0012903049181657554
INPP5J,Dysregulation,0.0011354207348897127
Dendritic cells activated,Immune,0.0011152640249780467
C20orf197,Expression,0.0010242176728219837
T cells CD4 memory activated,Immune,0.0
GPC6,Expression,0.0
gender,Clinical,0.0
KLHDC7A,Expression,0.0
Neutrophils,Immune,0.0
LOC283070,Expression,0.0
CXCL17,Expression,0.0
CXCL17,Dysregulation,0.0
T cells CD8,Immune,0.0
CLIC6,Dysregulation,0.0
B cells naive,Immune,0.0
B cells memory,Immune,0.0
Monocytes,Immune,0.0
NK cells resting,Immune,0.0
T cells gamma delta,Immune,0.0
Plasma cells,Immune,0.0
stage_Stage IV,Clinical,0.0
